n,t,edge,size,1.6933980214e-08*e*v^2,e*v^2 squared_error,0.10931978181421233*sqrt(n),sqrt(n) squared_error,0.20724897948318163*log(n),log(n) squared_error,0.009175757471338747*n,n squared_error,1.82943628444943e-05*vlog(e),vlog(e) squared_error,1.2586515530995e-06*n^3,n^3 squared_error,0.0001036367018034939*n^2,n^2 squared_error
12,0.004002809524536133,120.0,2612.0,0.00029261917809792,1.3765512406803304e-05,0.37869483274911986,0.14039411226813198,0.7429798197599344,0.546087021656448,0.11010908965606497,0.011258542683350472,0.007870152572651818,1.4956342251808722e-05,0.002,4.0112459915726505e-06,0.015,0.00012093819835363319
13,0.00496220588684082,138.0,3012.0,0.000394934286550908,2.085996987081478e-05,0.39415807875367825,0.1514734274565795,0.7669123552237737,0.5805680300745742,0.11928484712740371,0.013069666300218451,0.009342211790523487,1.918445171629501e-05,0.003,3.8502519423527695e-06,0.018,0.00016998407533712811
14,0.0037145614624023438,168.0,3444.0,0.0005576021004865921,9.96639241278751e-06,0.4090371691456631,0.16428641629915852,0.789070422126707,0.6167838278797707,0.12846060459874245,0.015561575278173626,0.011701726246878047,6.37948012943688e-05,0.003,5.10598083550576e-07,0.02,0.0002652155083618709
15,0.004476308822631836,191.0,3908.0,0.00072773779969665,1.4051784713989346e-05,0.4233936943774728,0.1754917759201033,0.8096990888923051,0.6483837255431334,0.1376363620700812,0.01773159978086355,0.013651548162612695,8.418501694593239e-05,0.004,2.2687009451692567e-07,0.023,0.00034312713483450715
16,0.005509614944458008,213.0,4404.0,0.000923376073108992,2.1033586985072693e-05,0.4372791272568493,0.18642491176248022,0.8289959179327265,0.6781296912092863,0.14681211954141996,0.01996639780537445,0.015586797143509143,0.00010154960107287307,0.005,2.597073916149383e-07,0.027,0.0004618366498354626
17,0.006711483001708984,237.0,4932.0,0.0011598591067975021,3.082052787055213e-05,0.4507370073894741,0.19715866630782977,0.8471225025245588,0.7062906817354359,0.1559878770127587,0.02228344180894216,0.01772227421449945,0.00012123752313166371,0.006,5.062080617208265e-07,0.03,0.0005423550239796896
18,0.009437322616577148,287.0,5492.0,0.001574656952139432,6.18215113507278e-05,0.4638045542319801,0.20644958116584522,0.8642127010703239,0.7306409476107459,0.16516363448409746,0.024250684207860196,0.02189411673007494,0.00015517171958607322,0.007,5.940541537278477e-06,0.034,0.0006033251202421125
19,0.01059246063232422,308.0,6084.0,0.001882855392034232,7.585722344168683e-05,0.4765138814580671,0.217082770384279,0.8803786420797124,0.7565280014368289,0.17433939195543618,0.026813057517735946,0.023935643198558596,0.00017804052099586098,0.009,2.5359308655024584e-06,0.037,0.0006973581354553461
20,0.010694742202758787,342.0,6708.0,0.0023165684932752,7.019379470628198e-05,0.4888929268440481,0.22867350379422463,0.8957151870650973,0.7832611878243316,0.18351514942677494,0.029866893153074774,0.027040886898443722,0.0002671964464122687,0.01,4.826667282941317e-07,0.041,0.0009184086501572493
21,0.01250147819519043,379.0,7364.0,0.002830328518987746,9.35311360595153e-05,0.5009661751196849,0.23859776014153822,0.9103033034370966,0.8060481174076983,0.1926909068981137,0.032468230216285865,0.030454411842332805,0.00032230782653869684,0.012,2.5148038025145044e-07,0.046,0.0011221509631073022
22,0.013922452926635742,415.0,8052.0,0.0034013592657840402,0.00011069341182041386,0.5127552274818402,0.24883413697044346,0.9242126520376127,0.8286282465975021,0.20186666436945244,0.03532302661486219,0.033856720946297915,0.00039737504147972606,0.013,8.509194018588471e-07,0.05,0.0013015894028308142
23,0.01960921287536621,455.0,8772.0,0.00407592436760873,0.00024128305186523063,0.524279255746268,0.25469185217131785,0.9375035990217608,0.8425301041190666,0.2110424218407912,0.03664667349480007,0.0376538361170141,0.0003256084279330193,0.015,2.124484333044166e-05,0.055,0.0012525078133011449
25,0.020133495330810547,543.0,10308.0,0.00574696953512625,0.0002069721244698897,0.5465989090710617,0.2771658318646938,0.9624344561974679,0.8879311008502258,0.22939393678346867,0.04378993235696136,0.046131319842430546,0.0006758868793369896,0.02,1.7821003348217235e-08,0.065,0.002013003241230399
27,0.02573537826538086,645.0,11972.0,0.00796244216652387,0.0003158772575740539,0.5680422491236798,0.2940967421801198,0.9854455823807133,0.9210436758830931,0.24774545172614618,0.049288472718054414,0.05610702602581764,0.0009224369876840444,0.025,5.407811931945596e-07,0.076,0.0025265321981243465
29,0.03150153160095215,724.0,13764.0,0.010310829608621177,0.0004490458509277799,0.5887050417495188,0.3104757517218838,1.0068116035888803,0.9512297365210977,0.26609696666882365,0.055035018154683917,0.06434453491996142,0.0010786628670124542,0.031,2.515339467536253e-07,0.087,0.0030800799946401124
31,0.03760790824890137,828.0,15684.0,0.013474503528121512,0.0005824212234169595,0.6086667853375248,0.32610824110171954,1.0267521294870237,0.9784062904087714,0.28444848161150116,0.06093026865797701,0.07504484014139993,0.0014015238695235764,0.037,3.6955243908232883e-07,0.1,0.003892773113077511
33,0.05077958106994629,947.0,17732.0,0.017463725917034562,0.001109946204569795,0.6279943351376114,0.3331768723133951,1.0454455333480022,0.9893603566212117,0.30279999655417866,0.06351428982084512,0.08739292560361746,0.0013405369979413084,0.045,3.340355734408151e-05,0.113,0.0038713805318313864
35,0.05594539642333984,1077.0,19908.0,0.02234142344583555,0.001129226999872838,0.6467445510839226,0.3490436411476592,1.0630386707422592,1.0142368631784022,0.32115151149685617,0.07033428347238718,0.10106241092168881,0.002035544997244232,0.054,3.784567243943432e-06,0.127,0.005048756689436326
38,0.07062387466430664,1252.0,23412.0,0.030614739621128033,0.0016007308869033024,0.6738923938170437,0.36393290620073626,1.087627621562894,1.0342966212057658,0.34867878391087237,0.07731453255611591,0.12020137762090219,0.00245792879941124,0.069,2.636968925376986e-06,0.15,0.0063005692733077
41,0.08894634246826172,1497.0,27204.0,0.0426136330473818,0.002146719962279695,0.6999881445654537,0.3733720839101839,1.1103471854851719,1.0432596821156548,0.3762060563248886,0.08251814320499117,0.14672546149510435,0.003338426595518048,0.087,3.788249003759143e-06,0.174,0.007234124659526218
44,0.11436104774475098,1697.0,31284.0,0.05563476312323389,0.003448776505447434,0.72514539688252,0.37305752115164814,1.1314616315207944,1.0344935975175682,0.4037333287389049,0.08373631700775956,0.16949096855642626,0.0030393081687015875,0.107,5.418502390050347e-05,0.201,0.007506308047887322
47,0.1473689079284668,1952.0,35652.0,0.07301878079540115,0.005527941404703024,0.7494586651094431,0.3625120757022471,1.151182870958848,1.0076424723747597,0.43126060115292114,0.08059449348184769,0.19835767994172773,0.0025998548714203018,0.131,0.000267941146770623,0.229,0.006663635192791132
51,0.1663036346435547,2326.0,41924.0,0.10244932718016417,0.00407737258162921,0.7806993976501176,0.37748215360041665,1.17560436331813,1.0186879609030284,0.4679636310382761,0.09099875342486333,0.24137694564573436,0.005636002024829992,0.167,4.849247096572204e-07,0.27,0.010752936188137396
55,0.20709490776062006,2656.0,48708.0,0.1360543706313616,0.005046757915613548,0.8107372005001894,0.36438401758388383,1.1981809006531652,0.9822514453078018,0.5046666609236311,0.08854894828050797,0.2809152724384712,0.0054494462411709315,0.209,3.6293764405456353e-06,0.314,0.011428698746710333
59,0.2571885585784912,3053.0,56004.0,0.1799657561864235,0.005963361209284339,0.839701177240161,0.33932095090007597,1.2191717686440733,0.9254116964480819,0.5413696908089861,0.08075891591580603,0.32856143722977615,0.005094087806971046,0.259,3.2813200235578116e-06,0.361,0.010776815370011348
64,0.3406987190246582,3605.0,65844.0,0.2500485065583411,0.008217461020188433,0.8745582545136986,0.285006003632574,1.2434938768990897,0.8150390970815198,0.5872484781656798,0.060786783732495776,0.3957070683264117,0.0030259184929037272,0.33,0.00011446258876858304,0.424,0.006939103412132839
69,0.4115593433380127,4209.0,76484.0,0.3393408592733765,0.005215509440594114,0.9080783083069335,0.24653108257380837,1.265985459815332,0.7300439885185135,0.6331272655223735,0.04909234414109498,0.4703623280641334,0.0034577910127003867,0.413,2.07549161772834e-06,0.493,0.006632580557535696
75,0.5365386009216309,5006.0,90308.0,0.4768397153509725,0.0035639569383785577,0.9467370818727997,0.16826279377464642,1.290916316991039,0.5690857385020964,0.688181810350406,0.02299566296585937,0.5704450596977964,0.00114964794673981,0.531,3.06761001690899e-05,0.583,0.0021586616043194774
81,0.6541368961334229,5830.0,105284.0,0.6477354115930348,4.097900432082688e-05,0.9838780363279109,0.10872921953676104,1.3139274431742844,0.4353235659644794,0.7432363551784386,0.007938713602114431,0.6761839002181225,0.00048607038911076164,0.669,0.00022091185654866174,0.68,0.0006689001416133604
88,0.8688342571258545,6868.0,124212.0,0.9006471493939195,0.0010120601144595132,1.0255104549636804,0.024547430968917573,1.338710611003976,0.2207837879337976,0.8074666574778098,0.003765982286562699,0.8115997040781764,0.0032757940625674793,0.858,0.00011738112746912917,0.803,0.004334149411313117
MSE,,,,,0.0016806331516045728,,0.25622547448357674,,0.802746908681023,,0.045239388154749,,0.00161718255767155,,3.0016441710885826e-05,,0.0036542601683140765
